xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P39,5.00E+03,2.73E+05,1.92E+05,1.95E+05,3.15E+05,5.88E+05,2.92E+07,7.43E+08,2.98E+09,2.33E+09,3.23E+09,4.89E+08,2.75E+08,1.84E+08,6.38E+07
P40,5.00E+03,2.23E+05,2.01E+05,2.19E+05,2.24E+05,8.01E+05,4.77E+06,2.53E+07,4.97E+08,3.39E+08,2.00E+08,6.18E+08,2.31E+09,4.85E+09,5.64E+09
P41,5.00E+03,1.10E+07,2.65E+07,1.37E+07,7.95E+06,1.46E+07,1.03E+07,1.20E+08,7.76E+07,2.28E+08,6.86E+08,1.46E+10,1.48E+10,9.39E+09,7.83E+09
P42,5.00E+03,8.20E+06,7.45E+06,9.58E+06,1.36E+07,2.43E+07,1.71E+07,1.44E+08,1.56E+08,1.71E+08,8.05E+08,1.32E+10,1.88E+10,1.43E+10,3.13E+10
P43,5.00E+03,1.54E+07,1.14E+07,5.13E+06,1.06E+07,1.24E+07,7.31E+06,3.52E+07,3.07E+07,4.01E+07,7.43E+07,1.16E+08,2.18E+08,8.00E+08,1.06E+10
P44,5.00E+03,8.01E+06,6.88E+06,7.43E+06,5.83E+06,1.03E+07,1.37E+07,2.09E+08,3.72E+08,6.08E+09,8.11E+09,6.19E+09,5.82E+09,2.84E+09,7.42E+08
P45,5.00E+03,3.94E+06,7.56E+06,2.14E+07,6.28E+06,1.26E+07,1.24E+07,8.19E+06,6.84E+06,7.10E+06,1.30E+07,1.61E+07,1.25E+07,6.82E+07,2.82E+07
P46,5.00E+03,1.03E+07,7.07E+06,5.33E+06,1.67E+07,2.51E+07,8.83E+07,2.76E+08,1.24E+08,2.71E+08,6.30E+08,2.27E+08,5.53E+09,7.01E+09,3.15E+09
P47,5.00E+03,6.72E+06,3.14E+06,5.42E+06,1.43E+07,2.17E+07,9.72E+07,3.92E+08,9.57E+07,1.98E+08,1.08E+09,1.32E+09,2.24E+09,3.31E+09,3.26E+09
P48,5.00E+03,7.90E+06,4.33E+06,4.50E+06,8.22E+06,1.83E+07,1.31E+08,5.70E+08,2.19E+08,4.21E+08,6.40E+08,5.70E+09,3.54E+09,1.27E+09,4.78E+08
P49,5.00E+03,3.14E+06,6.23E+06,4.85E+06,8.47E+06,9.94E+07,1.33E+07,5.55E+08,2.58E+08,7.08E+08,1.89E+09,3.97E+09,1.74E+09,2.33E+09,1.43E+08
P50,5.00E+03,4.16E+06,3.83E+06,6.36E+07,1.14E+07,2.37E+07,8.50E+07,3.01E+08,4.03E+07,8.44E+07,1.30E+08,4.66E+08,1.08E+09,1.57E+09,2.89E+09
P51,5.00E+03,5.87E+06,6.82E+06,6.64E+07,8.86E+06,1.46E+07,1.32E+08,5.37E+08,1.64E+08,3.28E+08,1.34E+08,2.73E+09,3.49E+09,4.06E+09,4.54E+09
P52,5.00E+03,7.84E+06,6.77E+06,2.63E+07,1.08E+07,1.25E+07,7.92E+07,1.87E+08,1.16E+08,6.94E+07,2.08E+08,3.67E+09,2.82E+09,1.79E+09,2.92E+09
P53,5.00E+03,4.59E+06,5.60E+06,6.25E+06,1.72E+07,2.43E+07,1.83E+08,4.30E+08,1.69E+08,3.55E+08,5.86E+08,1.30E+09,2.70E+09,4.44E+09,5.17E+09
P54,5.00E+03,6.67E+06,4.46E+06,3.53E+07,1.23E+07,1.28E+07,2.06E+07,4.32E+07,1.25E+07,2.05E+07,4.64E+07,9.69E+08,1.94E+09,1.06E+09,2.12E+09
P55,5.00E+03,7.39E+06,4.93E+06,2.16E+07,1.35E+07,1.82E+07,1.24E+08,2.15E+08,1.09E+08,2.33E+08,5.39E+08,3.86E+09,9.43E+08,2.16E+08,1.93E+09
P56,5.00E+03,1.20E+06,2.28E+06,1.12E+06,1.07E+06,3.73E+06,2.16E+07,7.36E+07,8.83E+07,1.88E+08,4.30E+08,3.07E+09,1.19E+10,3.45E+09,1.10E+10
P57,5.00E+03,1.19E+06,1.19E+06,9.90E+05,7.53E+05,6.73E+06,7.05E+07,5.65E+07,1.64E+08,2.16E+08,1.67E+09,4.52E+09,3.43E+09,1.82E+09,2.64E+10
P58,5.00E+03,4.95E+05,7.18E+05,1.87E+05,2.33E+05,3.48E+05,2.14E+07,3.67E+07,5.55E+07,2.05E+08,3.06E+09,1.12E+10,4.01E+10,2.73E+10,8.55E+09
P59,5.00E+03,7.61E+05,8.18E+05,9.01E+05,1.06E+06,4.75E+06,2.71E+07,1.43E+08,1.17E+08,1.85E+08,1.11E+09,5.29E+09,3.76E+09,1.05E+10,1.12E+10
P60,5.00E+03,1.30E+06,1.07E+06,2.94E+06,7.20E+05,2.84E+06,1.10E+07,9.25E+06,1.50E+07,3.23E+07,1.32E+08,1.87E+09,5.53E+09,1.80E+10,9.38E+09
P61,5.00E+03,1.42E+06,4.81E+05,1.60E+06,2.84E+06,1.60E+07,2.89E+08,6.91E+08,4.27E+08,8.70E+08,1.12E+09,6.77E+09,3.08E+10,2.87E+10,9.99E+09
P62,5.00E+03,2.04E+06,1.69E+06,2.09E+06,1.80E+06,1.09E+07,3.28E+08,4.54E+08,4.35E+08,1.37E+09,1.72E+09,2.09E+09,4.52E+09,1.34E+10,2.06E+10
P63,5.00E+03,1.01E+06,8.71E+05,1.52E+06,1.43E+06,2.39E+06,9.53E+06,3.89E+07,5.66E+07,1.33E+08,1.79E+08,5.84E+08,7.12E+08,8.27E+09,9.05E+09
P64,5.00E+03,1.54E+06,1.32E+06,1.89E+07,4.30E+06,2.80E+06,3.93E+07,1.06E+08,9.20E+07,2.70E+08,1.72E+09,3.16E+09,3.30E+09,6.74E+09,1.74E+10
P65,5.00E+03,8.83E+05,1.54E+06,1.90E+06,3.92E+06,9.85E+06,2.19E+07,9.54E+07,8.94E+07,1.35E+08,2.04E+08,5.86E+09,5.49E+09,9.62E+09,1.02E+10
P66,5.00E+03,1.42E+07,7.49E+06,1.13E+07,1.22E+07,1.79E+08,6.97E+08,2.49E+09,1.31E+09,4.78E+09,7.93E+09,1.09E+10,4.86E+09,3.91E+09,4.07E+09
P67,5.00E+03,1.07E+07,8.16E+06,1.41E+07,7.14E+06,4.54E+06,1.33E+08,2.40E+08,2.44E+08,3.47E+08,8.24E+08,3.29E+09,3.31E+09,4.49E+09,5.81E+07
P68,5.00E+03,6.96E+06,7.49E+06,6.70E+06,1.15E+07,1.79E+07,1.47E+08,2.97E+08,1.26E+08,3.19E+08,9.05E+08,2.14E+09,1.99E+09,5.22E+09,3.03E+09
P69,5.00E+03,1.02E+07,9.27E+06,7.45E+06,1.45E+07,2.23E+07,7.65E+07,9.72E+07,1.19E+08,1.48E+08,4.74E+08,1.83E+09,2.73E+09,2.58E+09,1.70E+09
P70,5.00E+03,8.80E+06,6.99E+06,6.68E+06,9.89E+06,6.96E+07,4.38E+07,5.20E+07,5.11E+07,7.50E+07,1.46E+08,2.14E+09,4.05E+09,2.97E+09,4.63E+09
P71,5.00E+03,8.06E+06,6.78E+06,2.36E+07,1.86E+07,9.29E+06,4.86E+07,5.28E+07,7.76E+07,1.02E+08,2.76E+08,2.83E+09,3.97E+09,2.77E+09,3.81E+09
P72,5.00E+03,6.65E+06,3.30E+07,2.41E+07,1.03E+07,4.38E+07,2.91E+07,6.77E+07,7.78E+07,1.14E+08,2.24E+08,9.05E+08,3.85E+09,3.58E+09,5.82E+09
P73,5.00E+03,4.52E+06,6.42E+06,8.64E+06,1.02E+07,5.74E+07,5.90E+07,7.70E+07,8.00E+07,8.97E+07,4.03E+08,3.36E+09,7.35E+09,7.95E+09,3.20E+09
P74,5.00E+03,8.28E+06,1.08E+07,1.57E+07,2.00E+07,1.97E+07,1.55E+08,4.47E+08,1.89E+08,3.97E+08,8.26E+08,9.01E+08,2.99E+09,3.35E+09,2.53E+09
P75,5.00E+03,9.43E+06,7.92E+06,1.57E+07,1.34E+07,3.76E+07,3.39E+07,5.57E+07,7.16E+07,9.51E+07,3.06E+08,1.40E+09,3.32E+09,2.14E+09,8.08E+05
P76,5.00E+03,6.79E+05,2.87E+05,4.65E+05,5.74E+05,8.81E+05,7.56E+06,6.83E+07,1.55E+08,3.34E+08,7.36E+08,9.51E+08,2.67E+09,5.90E+09,9.57E+08
P77,5.00E+03,6.05E+05,5.13E+05,6.23E+05,4.48E+05,5.16E+06,1.03E+07,2.02E+07,7.72E+07,2.95E+08,2.67E+08,1.38E+10,5.98E+09,2.58E+09,1.96E+09
P78,5.00E+03,8.42E+05,4.80E+05,4.02E+05,5.12E+05,1.04E+06,1.17E+07,1.44E+07,1.70E+08,1.43E+08,6.65E+08,5.48E+09,9.29E+08,6.31E+08,3.07E+08
P79,5.00E+03,8.58E+05,5.59E+05,5.00E+05,3.61E+05,5.02E+05,3.18E+06,2.28E+07,1.23E+08,3.68E+08,5.49E+08,2.14E+09,5.82E+09,1.49E+10,9.58E+09
P80,5.00E+03,6.32E+05,4.24E+05,4.21E+05,1.54E+06,6.18E+06,1.69E+07,1.47E+07,9.85E+07,2.99E+08,9.86E+08,7.59E+09,9.88E+08,2.37E+08,1.03E+08
P81,5.00E+03,4.57E+05,3.60E+05,5.25E+05,5.93E+05,1.51E+06,8.32E+05,2.80E+07,1.25E+08,2.06E+08,9.64E+08,1.34E+09,2.63E+09,2.74E+09,5.03E+09
P82,5.00E+03,7.58E+05,1.47E+05,5.57E+05,4.75E+05,1.96E+06,1.15E+08,2.83E+07,2.86E+08,7.84E+08,1.51E+09,2.37E+09,1.18E+10,4.16E+09,1.01E+10
P83,5.00E+03,5.63E+05,8.29E+05,4.81E+05,4.94E+05,1.23E+06,2.08E+07,9.59E+06,9.63E+07,3.94E+08,8.26E+08,3.69E+09,3.62E+09,3.01E+09,1.09E+08
P84,5.00E+03,4.75E+05,6.84E+05,9.08E+06,4.08E+06,2.45E+06,2.67E+07,1.12E+07,6.87E+07,3.16E+08,2.71E+09,7.03E+08,3.41E+09,4.37E+09,2.68E+08
P85,5.00E+03,3.80E+05,1.81E+05,5.39E+05,2.44E+05,2.53E+06,1.73E+07,1.03E+07,6.00E+07,9.36E+07,2.87E+08,4.02E+09,7.24E+09,1.02E+09,7.62E+08
P86,5.00E+03,8.86E+06,9.05E+06,7.03E+06,1.18E+07,6.13E+07,1.74E+08,6.73E+08,2.64E+08,4.00E+08,2.02E+09,9.21E+09,4.00E+09,2.66E+09,5.07E+09
P87,5.00E+03,1.12E+07,5.61E+06,7.52E+06,9.66E+06,1.55E+08,4.47E+08,6.56E+08,2.16E+08,7.30E+08,8.28E+08,2.24E+09,1.94E+09,3.21E+09,3.59E+09
P88,5.00E+03,7.14E+06,6.23E+06,6.23E+06,9.96E+06,4.07E+07,2.26E+08,1.62E+08,1.20E+08,1.77E+08,1.01E+09,2.41E+09,3.54E+09,5.48E+09,7.24E+09
P89,5.00E+03,9.16E+06,1.60E+07,8.72E+06,2.54E+07,1.90E+07,5.68E+07,9.57E+07,5.12E+07,5.03E+07,2.19E+08,4.35E+08,1.04E+09,1.84E+09,3.39E+09
P90,5.00E+03,5.37E+05,6.73E+06,8.08E+06,1.19E+07,1.32E+08,5.16E+08,3.68E+08,1.81E+08,1.09E+09,1.51E+09,2.98E+09,5.01E+09,6.76E+09,2.85E+09
P91,5.00E+03,5.47E+05,4.97E+06,9.41E+06,8.70E+06,2.45E+07,8.67E+07,5.62E+07,3.46E+07,1.05E+08,2.05E+08,1.42E+09,1.71E+09,2.06E+09,4.56E+09
P92,5.00E+03,7.48E+06,6.31E+06,1.56E+07,7.86E+06,2.61E+07,2.25E+08,2.00E+08,6.55E+08,1.03E+09,1.76E+09,4.57E+09,6.58E+09,4.37E+09,1.52E+09
P93,5.00E+03,6.75E+05,7.65E+06,9.07E+06,2.75E+07,4.17E+07,5.36E+07,5.74E+07,1.11E+08,2.25E+08,3.46E+08,7.03E+08,3.86E+09,4.45E+09,5.38E+09
P94,5.00E+03,6.36E+06,5.20E+06,1.00E+07,8.26E+06,1.66E+07,3.72E+07,3.78E+07,1.43E+07,2.73E+07,6.89E+07,5.92E+07,5.01E+07,1.08E+08,1.02E+09
P95,5.00E+03,6.34E+06,5.23E+06,1.00E+07,8.77E+06,1.19E+07,1.50E+07,2.09E+07,1.35E+07,1.54E+07,8.41E+06,2.55E+07,1.02E+09,7.15E+08,1.11E+09
P96,5.00E+03,5.89E+06,1.15E+07,1.03E+07,3.24E+06,4.91E+06,3.57E+06,6.88E+06,7.88E+06,1.37E+07,6.69E+06,6.74E+06,3.21E+07,5.61E+06,1.02E+07
P97,5.00E+03,9.49E+06,5.45E+06,6.08E+06,1.08E+06,1.49E+07,3.14E+07,5.13E+07,4.07E+07,1.27E+08,5.27E+08,2.99E+09,1.25E+10,4.67E+09,3.74E+08
P98,5.00E+03,7.79E+06,6.88E+06,4.59E+06,4.67E+06,1.96E+07,2.32E+07,2.76E+07,1.41E+07,3.78E+07,2.71E+08,1.29E+09,4.84E+09,3.31E+09,7.22E+09
P99,5.00E+03,1.83E+06,5.97E+06,9.00E+06,4.00E+07,6.25E+07,5.15E+07,2.43E+08,2.73E+08,3.53E+07,2.97E+07,1.10E+07,1.36E+07,1.56E+07,9.86E+07
P100,5.00E+03,7.56E+06,5.33E+06,4.32E+06,2.04E+06,7.09E+06,3.36E+07,4.18E+07,3.52E+07,7.78E+07,4.43E+08,4.51E+09,7.55E+09,7.72E+09,3.77E+09
