xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
P39,5.00E+03,9.71E+04,1.86E+06,2.38E+05,1.03E+06,1.45E+06,5.08E+07,4.42E+08,7.85E+06,1.77E+07,2.11E+08,1.32E+09,4.05E+09,5.93E+08,5.93E+08
P40,5.00E+03,8.28E+05,6.77E+05,3.79E+06,5.34E+06,1.19E+07,1.54E+08,3.86E+08,1.40E+08,1.96E+08,3.49E+10,6.79E+10,3.40E+10,1.32E+11,5.57E+10
P41,5.00E+03,1.79E+05,2.71E+05,2.60E+05,6.06E+05,4.47E+05,5.15E+06,2.82E+07,3.55E+08,4.73E+05,4.53E+06,4.57E+08,4.62E+09,5.44E+09,6.86E+08
P42,5.00E+03,4.61E+05,2.03E+05,1.61E+05,7.76E+05,2.05E+05,9.13E+06,3.01E+07,3.34E+08,4.06E+08,3.57E+08,4.57E+08,4.62E+09,5.44E+09,5.69E+09
P43,5.00E+03,8.82E+04,3.33E+05,5.79E+05,6.37E+05,9.13E+05,7.94E+06,1.04E+08,6.30E+08,4.73E+08,7.27E+08,6.03E+08,4.32E+08,6.34E+08,2.36E+08
P44,5.00E+03,3.11E+05,1.97E+05,3.47E+05,1.13E+06,5.30E+05,8.71E+06,1.07E+08,3.73E+08,4.63E+08,5.64E+08,4.53E+08,4.23E+08,5.72E+09,4.36E+09
P45,5.00E+03,8.11E+05,5.44E+05,1.48E+06,6.86E+05,3.12E+06,9.36E+07,2.06E+08,9.47E+08,1.32E+09,7.58E+08,1.10E+08,4.31E+08,4.40E+08,7.43E+08
P46,5.00E+03,1.94E+05,5.18E+05,3.90E+05,8.57E+05,1.06E+07,1.11E+08,1.13E+09,1.58E+09,2.97E+09,2.91E+09,4.58E+09,6.85E+09,1.99E+09,7.09E+07
P47,5.00E+03,7.80E+06,1.19E+07,1.10E+07,1.66E+07,2.09E+07,6.60E+07,7.53E+08,3.06E+09,3.61E+09,9.27E+08,6.02E+08,9.88E+07,3.04E+07,7.66E+06
P48,5.00E+03,7.47E+06,6.98E+06,6.73E+05,6.54E+06,1.41E+07,2.66E+07,3.78E+08,8.50E+08,1.82E+09,9.27E+08,3.67E+09,7.33E+08,3.91E+08,2.77E+07
P49,5.00E+03,2.31E+05,1.32E+05,1.48E+05,3.02E+05,1.49E+06,5.71E+06,3.72E+08,8.52E+08,1.97E+09,2.17E+09,1.39E+10,5.65E+09,3.07E+08,3.04E+08
P50,5.00E+03,4.81E+06,7.49E+06,1.06E+07,1.39E+07,2.50E+07,1.58E+08,1.12E+09,1.72E+09,1.65E+09,3.02E+09,8.22E+09,5.60E+08,1.72E+07,7.80E+04
P51,5.00E+03,3.09E+06,6.40E+06,8.33E+06,1.03E+07,1.05E+07,1.07E+07,4.94E+07,1.17E+09,5.18E+08,2.00E+09,8.51E+09,2.08E+10,4.23E+09,5.20E+07
P52,5.00E+03,1.60E+06,3.69E+06,2.45E+06,1.12E+06,6.80E+06,5.54E+07,2.07E+08,1.73E+09,2.72E+09,6.60E+09,4.77E+09,4.51E+09,6.57E+09,3.73E+08
P53,5.00E+03,5.03E+05,3.55E+05,3.71E+05,5.33E+05,6.62E+06,7.71E+08,1.89E+09,5.31E+09,1.43E+10,7.32E+09,5.15E+09,4.03E+09,3.35E+09,1.67E+09
P54,5.00E+03,4.42E+06,6.59E+06,7.63E+06,1.03E+07,3.36E+07,2.93E+08,1.62E+09,1.70E+10,8.75E+09,4.02E+09,1.70E+08,7.38E+07,3.10E+07,1.04E+06
P55,5.00E+03,1.31E+05,5.22E+05,5.14E+05,3.02E+05,7.75E+05,2.98E+07,3.70E+08,1.61E+09,2.31E+09,3.46E+09,1.81E+09,4.85E+09,2.91E+09,2.59E+09
P56,5.00E+03,1.89E+06,2.47E+06,2.10E+06,3.26E+06,4.73E+06,2.15E+07,1.38E+08,2.64E+12,1.06E+12,7.93E+11,3.30E+11,6.77E+10,2.09E+10,8.33E+09
P57,5.00E+03,4.45E+06,1.06E+07,4.06E+06,3.32E+06,1.32E+07,9.24E+07,2.75E+08,1.45E+09,8.44E+08,2.16E+08,2.20E+08,8.55E+08,4.32E+08,3.24E+09
P58,5.00E+03,5.69E+06,6.11E+06,2.85E+06,1.49E+06,6.53E+06,5.97E+07,1.97E+08,9.41E+08,1.13E+09,2.35E+09,1.32E+08,2.83E+08,1.58E+07,6.32E+07
P59,5.00E+03,8.72E+06,3.18E+06,8.58E+05,1.38E+06,2.37E+06,2.99E+06,7.11E+06,4.73E+07,1.84E+07,4.50E+09,6.70E+07,4.50E+07,3.99E+07,2.35E+07
P60,5.00E+03,1.00E+07,5.62E+06,3.58E+06,5.41E+06,4.57E+07,2.45E+07,1.14E+08,9.25E+09,1.80E+09,2.03E+09,6.32E+09,1.59E+09,1.90E+08,3.80E+08
P61,5.00E+03,5.36E+06,5.45E+06,6.35E+06,4.34E+06,3.16E+07,9.92E+07,4.01E+08,3.77E+07,2.35E+08,3.27E+08,4.28E+08,7.86E+08,9.05E+07,9.86E+07
P62,5.00E+03,1.48E+07,3.96E+06,9.17E+06,5.01E+06,1.09E+07,3.78E+07,1.51E+08,2.65E+08,2.42E+09,9.05E+07,3.46E+08,3.45E+08,5.68E+08,5.67E+08
P63,5.00E+03,2.05E+07,5.23E+06,1.42E+07,4.84E+06,6.17E+06,3.20E+07,1.53E+06,5.25E+07,6.06E+08,4.56E+08,4.57E+08,5.67E+09,6.76E+09,4.56E+08
P64,5.00E+03,8.63E+05,1.74E+06,5.03E+06,5.39E+06,1.32E+07,7.49E+07,8.83E+07,4.88E+08,8.48E+08,1.92E+09,5.71E+09,1.10E+10,5.38E+09,2.91E+08
P65,5.00E+03,3.46E+05,8.81E+06,4.94E+06,2.95E+06,1.40E+07,2.34E+07,9.05E+07,8.83E+07,6.94E+08,8.37E+08,4.99E+08,5.90E+09,6.76E+09,5.96E+08
P66,5.00E+03,2.24E+06,1.12E+06,2.26E+06,3.43E+06,2.73E+06,3.38E+07,4.89E+08,4.86E+09,6.37E+09,5.09E+09,7.81E+08,4.70E+08,2.66E+08,6.73E+07
P67,5.00E+03,1.40E+06,3.70E+06,1.44E+06,3.86E+06,6.70E+06,1.55E+07,4.81E+07,4.67E+08,1.70E+09,8.47E+09,4.37E+09,8.43E+09,1.90E+09,8.32E+08
P68,5.00E+03,1.54E+06,2.24E+06,2.48E+06,4.39E+06,3.66E+06,9.17E+06,4.06E+07,3.97E+08,1.45E+09,4.03E+09,6.73E+09,2.02E+09,7.88E+08,1.22E+07
P69,5.00E+03,3.02E+06,7.29E+06,1.39E+06,4.12E+06,2.22E+06,6.21E+06,1.99E+07,1.06E+08,9.94E+08,3.51E+09,4.03E+09,7.27E+09,9.35E+08,6.74E+08
P70,5.00E+03,2.47E+06,1.52E+06,9.12E+05,1.17E+06,7.88E+05,6.74E+06,1.86E+07,8.10E+08,2.07E+09,5.74E+09,6.80E+09,1.28E+10,3.08E+10,7.06E+09
P71,5.00E+03,6.49E+06,8.31E+06,1.10E+07,1.34E+07,1.54E+07,1.61E+07,1.88E+08,9.48E+08,7.71E+08,3.37E+08,3.13E+02,1.39E+06,4.16E+05,1.60E+04
P72,5.00E+03,1.33E+06,1.55E+06,4.91E+05,1.83E+06,2.21E+06,3.80E+07,1.66E+08,1.80E+08,2.41E+09,4.16E+08,2.77E+08,1.00E+08,7.97E+07,5.45E+07
P73,5.00E+03,9.94E+05,1.67E+06,7.57E+05,1.15E+06,2.56E+06,4.05E+07,2.01E+08,7.31E+08,2.10E+09,5.09E+09,1.05E+10,3.70E+10,7.38E+09,2.18E+09
P74,5.00E+03,2.93E+06,2.77E+06,1.22E+06,3.59E+06,1.69E+07,8.91E+07,3.66E+08,6.27E+08,2.36E+09,6.93E+09,2.02E+10,9.10E+09,7.36E+09,3.23E+08
P75,5.00E+03,1.53E+06,1.76E+06,2.61E+06,2.49E+06,6.65E+06,5.55E+07,2.27E+08,7.27E+08,5.00E+09,3.99E+09,3.05E+09,1.10E+09,8.37E+08,6.05E+08
P76,5.00E+03,9.65E+06,2.05E+07,1.32E+07,1.10E+07,2.61E+07,8.86E+07,4.45E+08,6.00E+07,2.17E+09,3.05E+09,1.10E+09,3.85E+08,6.71E+08,9.47E+08
